r,n_steps,mean_fer,mean_ter,mean_sufficiency_rate,strict_sufficient_steps,cost_vs_r1,total_approx_tokens
1,48,0.073,0.132,0.8958333333333334,43,1.0,650000
3,48,0.0909999999999999,0.163,0.9930555555555556,47,2.9,1885000
5,48,0.0999999999999999,0.1799999999999999,1.0,48,4.8,3120000
10,48,0.1109999999999999,0.1969999999999999,1.0,48,9.4,6110000
